target_chembl_id,pref_name,target_type,organism,uniprot_accession
CHEMBL4302,ATP-dependent translocase ABCB1,SINGLE PROTEIN,Homo sapiens,P08183
CHEMBL612647,Nakaseomyces glabratus,ORGANISM,Nakaseomyces glabratus,
CHEMBL1963,Thyrotropin receptor,SINGLE PROTEIN,Homo sapiens,P16473
CHEMBL612546,Molecular identity unknown,UNKNOWN,,
CHEMBL354,Escherichia coli,ORGANISM,Escherichia coli,
CHEMBL1287617,UDP-glucuronosyltransferase 1A1,SINGLE PROTEIN,Homo sapiens,P22309
CHEMBL2508,Cyclin-dependent kinase 6,SINGLE PROTEIN,Homo sapiens,Q00534
CHEMBL612841,Pichia kudriavzevii,ORGANISM,Pichia kudriavzevii,
CHEMBL2034,Glucocorticoid receptor,SINGLE PROTEIN,Homo sapiens,P04150
CHEMBL4979,Sodium/glucose cotransporter 1,SINGLE PROTEIN,Homo sapiens,P13866
CHEMBL2697,Aldo-keto reductase family 7 member A3,SINGLE PROTEIN,Rattus norvegicus,P38918
CHEMBL388,MT4,CELL-LINE,Homo sapiens,
CHEMBL2964,Dual specificity mitogen-activated protein kinase kinase 2,SINGLE PROTEIN,Homo sapiens,P36507
CHEMBL378,Human immunodeficiency virus 1,ORGANISM,Human immunodeficiency virus 1,
CHEMBL612366,Stenotrophomonas maltophilia,ORGANISM,Stenotrophomonas maltophilia,
CHEMBL4523572,NCI-H146,CELL-LINE,Homo sapiens,
CHEMBL347,Streptococcus pneumoniae,ORGANISM,Streptococcus pneumoniae,
CHEMBL364,Plasmodium falciparum,ORGANISM,Plasmodium falciparum,
CHEMBL4150,Enoyl-acyl-carrier protein reductase,SINGLE PROTEIN,Plasmodium falciparum,Q965D5
CHEMBL2146315,Nuclear receptor subfamily 1 group I member 2,SINGLE PROTEIN,Rattus norvegicus,Q9R1A7
CHEMBL3072,Androgen receptor,SINGLE PROTEIN,Rattus norvegicus,P15207
CHEMBL1293232,Survival motor neuron protein,SINGLE PROTEIN,Homo sapiens,Q16637
CHEMBL2652,"cGMP-dependent 3',5'-cyclic phosphodiesterase",SINGLE PROTEIN,Homo sapiens,O00408
CHEMBL614585,IMR-32,CELL-LINE,Homo sapiens,
CHEMBL352,Staphylococcus aureus,ORGANISM,Staphylococcus aureus,
CHEMBL4296578,Middle East respiratory syndrome-related coronavirus,ORGANISM,Middle East respiratory syndrome-related coronavirus,
CHEMBL5319,Epithelial discoidin domain-containing receptor 1,SINGLE PROTEIN,Homo sapiens,Q08345
CHEMBL3397,Cytochrome P450 2C9,SINGLE PROTEIN,Homo sapiens,P11712
CHEMBL2069,Thromboxane A2 receptor,SINGLE PROTEIN,Homo sapiens,P21731
